OTU_ID	E2	F2	G2	B1	D1	E1	G1	A2	C2	D2	E4	F4	G4	A3	C3	E3	G3	A4	C4	D4	E6	F7	B6	C6	D6	H4	B5	C5	D5	F5	H5	A6	A8	C8	F6	H6	B7	C7	E7	G7	Silva_tax	evalue_S	Greengenes_tax	evalue_G
OTU_40	11	16	22	1	0	0	0	0	3	3	12	131	609	3	1	0	0	0	3	0	0	0	2	1	5	0	0	0	0	2	0	0	0	2	2	0	0	0	0	0	"Bacteria; __Bacteroidetes; __Flavobacteria; __Flavobacteriales; __Flavobacteriaceae; __Flavobacterium"	3.00E-123	"k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium; s__"	3.00E-133
OTU_26	32	7	22	0	1	3	0	1	9	6	9	9	6	0	0	132	9	296	149	51	20	7	0	0	1	0	0	0	0	0	0	1	12	7	0	1	0	1	3	13	"Bacteria; __Actinobacteria; __Acidimicrobiia; __Acidimicrobiales; __Acidimicrobiaceae; __CL500-29_marine_group"	1.00E-132	"k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__C111; g__; s__"	3.00E-133
OTU_39	0	0	27	0	0	0	0	0	0	0	0	1	11	0	0	0	0	0	0	0	27	24	0	0	2	0	0	1	1	0	0	0	292	292	0	1	0	0	0	73	"Bacteria; __Verrucomicrobia; __Opitutae; __vadinHA64; __f; __g"	1.00E-125	"k__Bacteria; p__Verrucomicrobia; c__Opitutae; o__[Cerasicoccales]; f__[Cerasicoccaceae]; g__; s__"	4.00E-126
OTU_45	0	0	0	2	0	0	0	5	1	0	0	0	4	0	3	0	57	2	0	0	1	0	0	0	0	2	0	300	35	8	0	0	0	0	0	0	162	108	1	0	"Bacteria; __Proteobacteria; __Gammaproteobacteria; __Pseudomonadales; __Moraxellaceae; __Acinetobacter"	1.00E-132	"k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter; s__"	3.00E-133
OTU_34	3	0	0	0	9	11	0	1	0	0	0	0	3	1	0	83	5	11	13	12	1	123	0	1	1	1	0	1	2	8	2	3	24	5	12	17	123	57	152	2	"Bacteria; __Cyanobacteria; __Chloroplast; __Chloroplast; __Chloroplast; __Chloroplast"	3.00E-123	"k__Bacteria; p__Cyanobacteria; c__Chloroplast; o__Cryptophyta; f__; g__; s__"	1.00E-123
OTU_46	0	1	9	0	0	0	0	0	0	0	135	6	21	0	0	1	0	4	4	4	116	30	2	9	145	0	0	0	0	0	0	2	59	98	18	8	2	2	3	6	"Bacteria; __Verrucomicrobia; __Spartobacteria; __Chthoniobacterales; __Chthoniobacteraceae; __Chthoniobacter"	4.00E-104	"k__Bacteria; p__Verrucomicrobia; c__[Spartobacteria]; o__[Chthoniobacterales]; f__[Chthoniobacteraceae]; g__; s__"	1.00E-104
OTU_244	0	0	5	7	6	7	0	0	3	1	2	2	2	20	1	0	98	79	38	3	0	4	4	0	2	84	13	10	18	54	37	3	0	0	19	9	29	34	67	11	"Bacteria; __Cyanobacteria; __Chloroplast; __Chloroplast; __Chloroplast; __Chloroplast"	5.00E-116	"k__Bacteria; p__Cyanobacteria; c__Chloroplast; o__Stramenopiles; f__; g__; s__"	6.00E-116
OTU_289	11	6	19	25	55	79	184	20	83	89	15	7	9	0	49	2	0	1	0	9	0	0	0	0	0	1	3	4	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria; __Actinobacteria; __Actinobacteria; __Micrococcales; __Microbacteriaceae; __Candidatus_Rhodoluna"	1.00E-132	"k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Microbacteriaceae; g__Candidatus Rhodoluna; s__"	3.00E-133
OTU_42	0	1	46	0	0	0	0	0	0	0	1	1	7	0	0	1	0	0	0	0	77	47	0	9	18	3	0	0	0	0	0	2	161	156	19	4	4	3	37	72	"Bacteria; __Actinobacteria; __Actinobacteria; __Frankiales; __Sporichthyaceae; __hgcI_clade"	1.00E-132	"k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__; g__; s__"	3.00E-133
OTU_507	11	5	13	0	0	0	0	0	9	0	12	17	146	0	0	1	3	65	4	0	5	12	1	0	5	2	0	0	4	170	13	1	58	28	1	0	1	23	37	18	"Bacteria; __Bacteroidetes; __Sphingobacteriia; __Sphingobacteriales; __Chitinophagaceae; __Sediminibacterium"	8.00E-121	"k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__Sediminibacterium; s__"	2.00E-121
OTU_228	3	1	1	0	1	0	0	0	5	1	1	1	2	0	1	2	2	4	0	4	55	58	0	1	3	7	3	4	2	2	1	2	75	54	48	41	30	13	68	141	"Bacteria; __Actinobacteria; __Actinobacteria; __Frankiales; __Sporichthyaceae; __hgcI_clade"	2.00E-118	"k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__ACK-M1; g__; s__"	6.00E-119
