samples_available	date	env	fecha	month	h	sampling	sample_v	Anos_total	Ostr_total	anos_L	ostr_L	salinity	salinity_q	cond	temp	temp_q	pH	redox	od	chla	doy	doy_acc	doy_acc_mod	season	season_det	sampling_trip	coord
MON_54	both	21/3/13	z12_Amarga_baja	21/3/13	mar-13	2	5	6	5	1	1	0	1.5	3_brackish	13.3	11.2	cold	8.6	258	11.8	0.9	80	446	445	winter	late-winter	5	41.404935 N -0.028002 W
MON_55	both	21/3/13	z11_Amarga_alta	21/3/13	mar-13	2	5	6	821	6	137	1	1	2_slightly-brackish	10.4	15	mild	8.4	265	12.5	0.6	80	446	445	winter	late-winter	5	41.396091 N -0.057746 W
MON_56	both	21/3/13	8_Pito	21/3/13	mar-13	5	5	5	0	2	0	0	3.8	4_marine	45.4	13.9	mild	8	240	11	6.1	80	446	445	winter	late-winter	5	41.412818 N -0.153057 W
MON_57	both	21/3/13	z10_Playa	21/3/13	mar-13	30	5	5	0	0	0	0	5.8	5_hypersaline	67.5	16.3	mild	8.6	250	12.4	5.9	80	446	445	winter	late-winter	5	41.419234 N -0.188864 W
MON_58	both	21/3/13	9_Salineta	21/3/13	mar-13	30	5	5	0	0	0	0	11	5_hypersaline	107.5	16.1	mild	8.4	270	10.1	40.9	80	446	445	winter	winter	5	41.484360 N -0.160008 W
MON_59	only_16S	21/3/13	z13_Salobral	21/3/13	mar-13	50	5	5	0	1	0	0	3	4_marine	31.3	16	mild	8.9	230	10.8	15.5	80	446	445	winter	winter	5	41.500283 N -0.141735 W
MON_60	both	16/4/13	1_Guallar	16/4/13	abr-13	3	6	5	0	1	0	0	16.9	6_highly-hypersaline	166.4	23.3	warm	7.9	270	8.8	2.9	106	472	472	spring	spring	6	41.411798 N -0.227378 W
MON_61	both	16/4/13	2_Pinol	16/4/13	abr-13	5	6	5	0	404	0	81	7.8	5_hypersaline	102.2	24.9	hot	8.8	235	10.6	6.3	106	472	472	spring	spring	6	41.410267 N -0.256041 W
MON_62	both	16/4/13	3_Muerte	16/4/13	abr-13	1	6	2	0	10	0	5	32	6_highly-hypersaline	207.4	32	hot	7.3	290	7.4	2.1	106	472	472	spring	spring	6	41.400761 N -0.261687 W
MON_63	both	16/4/13	4_Camaron	16/4/13	abr-13	10	6	14	0	33	0	2	4.3	4_marine	68	29.5	hot	9	220	12.3	4.2	106	472	472	spring	spring	6	41.403479 N -0.284693 W
MON_64	both	16/4/13	5_Pez	16/4/13	abr-13	2	6	5	0	76	0	15	13.8	5_hypersaline	165.5	31	hot	7.8	260	8.4	6.4	106	472	472	spring	spring	6	41.378293 N -0.261327 W
MON_65	both	17/4/13	8_Pito	17/4/13	abr-13	3	6	5	0	451	0	90	7	5_hypersaline	94.1	22.1	warm	8.1	325	9.7	6.6	107	473	472	spring	spring	6	41.412818 N -0.153057 W
